Date,S&P500,AAL,ALGT,ALk,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,GOOG,IBM,MSFT,FB
25-11-2015,0.14830236,0.65284241,0.768483577,0.730959869,0.629520096,0.541319887,0.518859029,0.796157059,0.798859554,0.787495014,0.391445643,0.320257934,0.753225824,0.451700097,0.141000985,0.118066764,0.246899605,0.332518321,0.024152566,0.062032361,0.063380105,0.122525752,0.495870647,0.048545757,0.067900106
27-11-2015,0.149010213,0.660530009,0.786054554,0.732916063,0.635660647,0.546932447,0.517444578,0.802840434,0.794712327,0.787099367,0.400982576,0.324825318,0.757142829,0.45210283,0.147577886,0.123590308,0.242390135,0.347188394,0.023826143,0.061539499,0.062697993,0.124414745,0.501147167,0.04982891,0.068087902
30-11-2015,0.143472814,0.651830818,0.67376108,0.73252484,0.620195557,0.533578508,0.518859029,0.802840434,0.797304292,0.799762604,0.397731388,0.338796301,0.750460778,0.46861513,0.129451402,0.101726074,0.241262683,0.347188394,0.016226026,0.062637236,0.059923651,0.117556999,0.512158763,0.052074408,0.062406088
01-12-2015,0.156157183,0.692292076,0.692507594,0.751304118,0.647714297,0.543835892,0.54620462,0.856307435,0.808709218,0.819153146,0.419767389,0.364857586,0.764516101,0.519360194,0.147417444,0.137629456,0.289176945,0.35403431,0.032778471,0.060486584,0.064600015,0.139437231,0.533493944,0.056725836,0.075929778
02-12-2015,0.142959101,0.703621268,0.685763815,0.758215946,0.662724623,0.575769336,0.557284229,0.838763576,0.809227673,0.788682232,0.399465302,0.354647994,0.75000004,0.504689025,0.142444745,0.120368237,0.248590868,0.373594114,0.039212923,0.058111935,0.063599816,0.135265329,0.515370498,0.056672361,0.07099926
03-12-2015,0.125896324,0.692494423,0.661015933,0.743218633,0.660222894,0.558157568,0.552098067,0.827067669,0.824779721,0.786307875,0.362907265,0.342826447,0.729723519,0.489902771,0.12223297,0.092059837,0.219842108,0.366748148,0.026903515,0.055692462,0.060399162,0.126455916,0.506423503,0.051272457,0.063063484
04-12-2015,0.149912069,0.726886512,0.687310557,0.800078323,0.695701585,0.577704675,0.60207447,0.843776107,0.826853387,0.791848041,0.397514648,0.36620095,0.763594419,0.49939586,0.156881608,0.116225521,0.24295372,0.394132108,0.039679184,0.064272605,0.062494675,0.139231339,0.523743932,0.060414881,0.071515789
07-12-2015,0.14156625,0.743273281,0.684959478,0.818596816,0.741187144,0.595703515,0.60608206,0.82289056,0.800933219,0.781559161,0.365002547,0.349005893,0.75783405,0.481732896,0.162816851,0.117146142,0.235062007,0.385819052,0.031146551,0.062592422,0.061573177,0.136044204,0.513649989,0.059880242,0.068839235
08-12-2015,0.133871143,0.718389607,0.675431494,0.809337569,0.70684557,0.582736648,0.499057049,0.790309106,0.783825909,0.749505342,0.346434474,0.332348209,0.734331837,0.491053435,0.14837986,0.112313024,0.227733878,0.380929126,0.031006638,0.062480419,0.064032693,0.135256368,0.496444207,0.059773313,0.072971452
09-12-2015,0.124754545,0.700182102,0.650869216,0.781820602,0.689561012,0.561641234,0.486327181,0.792815372,0.783825909,0.750296834,0.330467486,0.313809734,0.727880155,0.494160282,0.144048836,0.097353277,0.214205242,0.366259249,0.027136661,0.056633383,0.059920369,0.125623328,0.479926635,0.055442683,0.064096547
10-12-2015,0.127386176,0.709083538,0.685887486,0.792905618,0.729815755,0.574027513,0.50400752,0.781119465,0.750648043,0.744360942,0.340582318,0.315153071,0.732949303,0.510212292,0.15190891,0.117376269,0.218151127,0.367237293,0.032545324,0.057865508,0.059110378,0.123698545,0.4818766,0.056993153,0.067947035
11-12-2015,0.104631927,0.668622281,0.641898127,0.772170041,0.684330195,0.561254143,0.460867445,0.750208855,0.717470229,0.700435299,0.300484039,0.279151028,0.709216606,0.486450691,0.136509503,0.081933301,0.201240192,0.358924237,0.031472932,0.051167179,0.051840053,0.114217684,0.456526841,0.050523954,0.052451191
14-12-2015,0.110094973,0.662148479,0.664542457,0.764084556,0.70479872,0.568608449,0.469118317,0.748538012,0.715915019,0.698456628,0.299328024,0.273777493,0.706682044,0.492664378,0.144048836,0.083084026,0.20800451,0.349633333,0.030866763,0.049599017,0.057664171,0.122185548,0.472126589,0.056298109,0.064378318
15-12-2015,0.122351271,0.678939861,0.691703257,0.763823667,0.726859261,0.564157143,0.479726544,0.757727652,0.736651101,0.707954135,0.339859784,0.299570105,0.746082943,0.581554525,0.175810066,0.09919452,0.21251398,0.364792109,0.039073053,0.045140914,0.057903578,0.118273252,0.493461757,0.056618907,0.063861784
16-12-2015,0.139282832,0.691078299,0.673575477,0.771909256,0.74891969,0.579252982,0.493399293,0.7786132,0.764644933,0.726948951,0.370204498,0.320257934,0.767741884,0.632644822,0.193776108,0.124971228,0.230552537,0.39804399,0.044761499,0.047045121,0.063521115,0.13142467,0.510667538,0.061591106,0.074380182
17-12-2015,0.121483561,0.676107593,0.656251942,0.750782456,0.72413006,0.564737789,0.462989085,0.762740184,0.752721708,0.717847289,0.344194774,0.287211185,0.758986193,0.591853132,0.167949976,0.093670884,0.21646009,0.36430321,0.04657993,0.041758163,0.061842086,0.123671661,0.481532496,0.059292132,0.071703623
18-12-2015,0.100738731,0.648391652,0.631442129,0.735393828,0.699795285,0.549448433,0.444837364,0.754385965,0.757905742,0.706371191,0.292753434,0.257925853,0.720276514,0.575398383,0.140840543,0.070195603,0.19729425,0.356968198,0.030726893,0.035149435,0.059707223,0.114611603,0.460311964,0.050898205,0.061466959
21-12-2015,0.109644046,0.674893816,0.672461773,0.768648954,0.733909455,0.558351085,0.459688779,0.762740184,0.753240112,0.719034428,0.309081698,0.268404064,0.725576031,0.57677923,0.134905428,0.075489043,0.223787993,0.361369175,0.038140536,0.038061752,0.059828557,0.122185548,0.467194345,0.054640726,0.064894814
22-12-2015,0.119816641,0.68500913,0.655756972,0.758476823,0.740504884,0.557576922,0.46369637,0.77443609,0.768273757,0.724970281,0.325699015,0.28291242,0.732949303,0.601864098,0.153031785,0.080782461,0.227170237,0.376528148,0.038280406,0.037837737,0.05938257,0.124181967,0.49506763,0.057420859,0.068369668
23-12-2015,0.134270714,0.692899055,0.656499377,0.764214994,0.740277501,0.555448085,0.461338944,0.79197995,0.798341151,0.751088207,0.346651215,0.293121905,0.749078358,0.612335296,0.1655438,0.101035671,0.229425085,0.397065946,0.044108727,0.040929264,0.05956293,0.124459497,0.502064648,0.059933701,0.064237413
24-12-2015,0.132386866,0.703418982,0.662067706,0.763693333,0.752103656,0.551964439,0.472182956,0.794486216,0.799896361,0.752671152,0.343183286,0.289897885,0.744009211,0.607559961,0.169233293,0.09804368,0.232807159,0.400978024,0.042476769,0.039629923,0.059264498,0.122749568,0.498738277,0.059131723,0.066068743
28-12-2015,0.129823735,0.691685197,0.663985654,0.767605631,0.745053462,0.550803185,0.470297006,0.782790309,0.798859554,0.751088207,0.337042068,0.281568976,0.740783404,0.538691647,0.16121276,0.097813577,0.221533145,0.410758024,0.04243017,0.036919228,0.063334189,0.135381718,0.491397155,0.060628745,0.07034186
29-12-2015,0.142302674,0.697147467,0.681804067,0.772170041,0.750056806,0.556802836,0.482555375,0.786131997,0.802488378,0.767313059,0.350841678,0.291778568,0.754838727,0.534376591,0.174205992,0.109321056,0.244644983,0.423960957,0.049377519,0.041220487,0.069489525,0.147995945,0.516288162,0.063836604,0.076587173
30-12-2015,0.133739858,0.682986007,0.656623147,0.754825297,0.727314026,0.538997494,0.45921728,0.771929825,0.789528294,0.751483934,0.339859784,0.283181066,0.745622091,0.539784812,0.170195725,0.10724971,0.240135287,0.424939001,0.045181119,0.03803935,0.067882653,0.142982493,0.511241099,0.062553467,0.071703623
31-12-2015,0.12265377,0.673882204,0.628596178,0.742696971,0.716397515,0.516740904,0.452380952,0.761904762,0.778641876,0.738820736,0.326999449,0.271896783,0.733410155,0.535872494,0.153192227,0.097353277,0.213641432,0.395110103,0.039212923,0.033424456,0.063560465,0.132131908,0.491511792,0.058115908,0.064378318
04-01-2016,0.104797497,0.644750139,0.586648525,0.715180017,0.670229695,0.467969837,0.426449741,0.752715121,0.761534565,0.71270281,0.304674494,0.263030609,0.699999993,0.517749246,0.117260272,0.089528191,0.195039515,0.38044003,0.033710988,0.033626069,0.050803765,0.116876644,0.472356045,0.054480316,0.052920753
05-01-2016,0.107109416,0.636860193,0.585844188,0.698095953,0.668182844,0.452873998,0.438236634,0.746031746,0.753240112,0.712307083,0.282638493,0.25765718,0.699539141,0.531327296,0.123997504,0.10494826,0.20800451,0.38190717,0.034736778,0.027711825,0.049754368,0.11753913,0.471209096,0.055816929,0.055315579
06-01-2016,0.092010345,0.65122394,0.568025683,0.71257171,0.676370245,0.462550793,0.447430387,0.71679198,0.733022278,0.698852355,0.25193262,0.236700678,0.676267297,0.540187551,0.115816512,0.088147248,0.175873788,0.355990154,0.029188207,0.023208926,0.049380536,0.118470184,0.46340905,0.050470479,0.056442541
07-01-2016,0.065083117,0.63544407,0.521561573,0.657668227,0.63247668,0.457712395,0.42621405,0.675856307,0.703473339,0.682231856,0.214218576,0.195862418,0.642165936,0.511362956,0.097048497,0.077560389,0.164036077,0.352567171,0.013335165,0.01368789,0.041277242,0.103044818,0.436912182,0.040419147,0.032729155
08-01-2016,0.053060959,0.633825579,0.503804999,0.610589445,0.623607019,0.451132213,0.432343187,0.65497076,0.669258718,0.657696874,0.209305687,0.179742025,0.622811074,0.474943874,0.080045015,0.057307294,0.141488162,0.311980474,0.004336275,0.014830423,0.040985375,0.092373243,0.422803487,0.041274601,0.0299587
11-01-2016,0.053997169,0.648189386,0.576439969,0.614371409,0.626563603,0.456551218,0.428335691,0.665831245,0.679108381,0.680648991,0.222238235,0.181891407,0.635023033,0.442667245,0.070580722,0.061219791,0.145434047,0.311491378,0.001631925,0.018347606,0.044491007,0.093769905,0.441156217,0.041114191,0.030803929
12-01-2016,0.062565699,0.666801524,0.587824062,0.619196696,0.631566946,0.452873998,0.44342289,0.66833751,0.683255608,0.690542145,0.222093816,0.181891407,0.66428573,0.456820671,0.081328204,0.072957375,0.141488162,0.332029373,0.014127845,0.021551155,0.044540205,0.102758327,0.437370922,0.043680487,0.039537968
13-01-2016,0.034936332,0.628363289,0.552867624,0.575117444,0.585626531,0.408941367,0.389674705,0.635756057,0.654225073,0.660466957,0.173542398,0.139709783,0.626728102,0.443185075,0.061758088,0.047640966,0.105975254,0.299755535,0,0.015793728,0.032708286,0.079920157,0.417526967,0.037585534,0.021083794
14-01-2016,0.052952461,0.637467092,0.588319032,0.589332311,0.594723666,0.437004053,0.391324847,0.645781119,0.654225073,0.654135338,0.190882142,0.146695302,0.647695821,0.467521971,0.091754913,0.073877996,0.147688895,0.318337539,0.00713386,0.020565439,0.036377885,0.092597058,0.437485742,0.045444826,0.034842251
